Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source
CNG,PG&E - Grass Valley Service Center,788 Taylorville Rd,"Exit Highway 49 at McKnight Way, west 2 blocks, and the station is on the right.",Grass Valley,CA,95949,,800-684-4648,E,,Public - Card key at all times,"24 hours daily; PG&E payment card only, contact PG&E LNG/CNG at 800-684-4648 x4 for payment card and station information",Proprietor,,Q,3000 3600,,,,,,,200-9,39.20062,-121.062126,5/6/2020,792,2020-05-06 17:56:57 UTC,T,,,5/15/1995,,HD,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,30,,,,,,,,,Q,3000 3600,HD,,
CNG,United Parcel Service,4500 Norris Canyon Rd,"Exit I-680 at Crow Canyon Road, go west to San Ramon Valley Boulevard, then left/south to Norris Canyon Road, turn left/east, and the station on left.",San Ramon,CA,94583,,800-920-1166,E,,Public - Credit card at all times,24 hours daily; restricted access 6pm-10pm while UPS fuels fleet; contact station at 800-920-1166 to set up an account; Also accepts Pinnacle Fleet,M V,,Q,3000 3600,,,,,,,200-8,37.773172,-121.968239,6/9/2020,797,2020-06-09 16:47:26 UTC,P,,,3/2/1995,,MD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,2,,270,,,,,,,,,Q,3000 3600,MD,,
CNG,PG&E - Santa Cruz Service Center,615 7th Ave,"Exit Highway 17 to Highway 1 E toward Monterey. Exit Highway 1 at Soquel Avenue, west then south on 7th Avenue, and the station is on the right.",Santa Cruz,CA,95062,,800-684-4648,E,,Public - Card key at all times,"8am-4pm M-F; PG&E payment card only, contact PG&E LNG/CNG at 800-684-4648 x4 for payment card and station information",Proprietor,,Q,3000 3600,,,,,,,200-9,36.969267,-121.999295,5/6/2020,798,2020-05-06 17:56:57 UTC,T,,,5/15/1995,,LD,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,30,,,,,,,,,Q,3000 3600,LD,,
CNG,PG&E - Bakersfield Service Center,4101 Wible Rd,"Exit Highway 99 at White Land, go west to Wible Road, go south, and the station is on the right.",Bakersfield,CA,93313,,800-684-4648,E,,Public - Card key at all times,"24 hours daily; PG&E payment card only, contact PG&E LNG/CNG at 800-684-4648 x4 for payment card and station information",Proprietor,,B,3000 3600,,,,,,,200-8,35.317617,-119.039048,5/6/2020,801,2020-05-06 17:56:57 UTC,T,,,5/15/1994,,HD,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,400,,,,,,,,,B,3000 3600,HD,,
CNG,PG&E - Fresno Service Center,3754 E California Ave,"From Highway 99 northbound, exit at E Jensen Avenue, turn right and travel east 0.75 mile (turns into Jensen Bypass), left on S Pullman Avenue, left again onto E Jensen, follow the road around as it turns into S Orange Avenue, north on S Orange for 1 mile to E California Avenue turn right onto E California, travel east 0.25 mile, and the station is on the right.",Fresno,CA,93725,,800-684-4648,E,,Public - Card key at all times,"24 hours daily; PG&E payment card only, contact PG&E LNG/CNG at 800-684-4648 x4 for payment card and station information",Proprietor,,B,3000 3600,,,,,,,200-8,36.72136,-119.761165,5/6/2020,806,2020-05-06 17:56:57 UTC,T,,,5/15/1995,,HD,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,120,,,,,,,,,B,3000 3600,HD,,
CNG,PG&E - Salinas Service Center,390 Griffin St,"Exit Highway 101 S at John Street, right on Griffin.  Exit Highway 101 N at Wood Street, left on John Street, right on Work Street, right on E Alisal Street, at corner of E Alisal and Griffin.",Salinas,CA,93901,,800-684-4648,E,,Public - Card key at all times,"24 hours daily; PG&E payment card only, contact PG&E LNG/CNG at 800-684-4648 x4 for payment card and station information",Proprietor,,B,3000 3600,,,,,,,200-8,36.67217,-121.641106,5/6/2020,809,2020-05-06 17:56:57 UTC,T,,,5/15/1992,,MD,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,75,,,,,,,,,B,3000 3600,MD,,
CNG,PG&E - San Carlos Service Center,275 Industrial Way,"Exit Highway 101 at Holly Street, west to Industrial Way, right on Industrial, and the station is on the right.",San Carlos,CA,94070,,800-684-4648,E,,Public - Card key at all times,"24 hours daily; PG&E payment card only, contact PG&E LNG/CNG at 800-684-4648 x4 for payment card and station information",Proprietor,,B,3000 3600,,,,,,,GPS,37.51689165,-122.2624653,5/6/2020,810,2020-05-06 17:56:57 UTC,T,,,5/15/1992,,MD,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,150,,,,,,,,,B,3000 3600,MD,,
CNG,PG&E - San Francisco Service Center,536 Treat Ave,"US-101, exit onto 9th Street, left on Harrison, right on 19th Street, right on Treat Avenue.",San Francisco,CA,94110,,800-684-4648,E,,Public - Card key at all times,"9am-2pm M-F; PG&E payment card only, contact PG&E LNG/CNG at 800-684-4648 x4 for payment card and station information",Proprietor,,B,3000 3600,,,,,,,200-8,37.761127,-122.41383,5/6/2020,813,2020-05-06 17:56:57 UTC,T,,,5/15/1995,,MD,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,240,,,,,,,,,B,3000 3600,MD,,
CNG,PG&E - Concord Service Center,1030 Detroit Ave,"Exit I-680 S at Gregory Lane, left on Contra Costa, left on Monument Boulevard, right on Detroit. Exit I-680 N at Monument, east then right on Detroit, and the station is on the left.",Concord,CA,94518,,800-684-4648,E,,Public - Card key at all times,"24 hours daily; PG&E payment card only, contact PG&E LNG/CNG at 800-684-4648 x4 for payment card and station information",Proprietor,,B,3000 3600,,,,,,,200-9,37.956072,-122.028697,5/6/2020,816,2020-05-06 17:56:57 UTC,T,,,5/15/1990,,MD,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,116,,,,,,,,,B,3000 3600,MD,,
CNG,PG&E - Hayward Service Center,24300 Clawiter Rd,"Exit Highway 92/San Mateo Bridge at Clawiter Road, go north, and the station is on the right. Or from exit I-880 at Winton Avenue, go west, left on Clawiter, and the station is on the left.",Hayward,CA,94545,,800-684-4648,E,,Public - Card key at all times,"24 hours daily; PG&E payment card only, contact PG&E LNG/CNG at 800-684-4648 x4 for payment card and station information",Proprietor,,Q,3000 3600,,,,,,,200-9,37.642339,-122.117821,5/6/2020,818,2020-05-06 17:56:57 UTC,T,,,5/15/1991,,HD,,,,US,,,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,UTILITY,1,,300,,,,,,,,,Q,3000 3600,HD,,
